id,brand,manufacturer,name,customer_rating,customer_review,review_title
AV1T19jOglJLPUi8H8Y9,Amazon,,Certified Refurbished Kindle Paperwhite E-reader - Black,1.0,"Let me guess: you love books, but you're not sure you want to get a kindle because you love the feel of books, rightI'm here to tell you that the kindle is the perfect balance of book and digital format.SHORT REVIEWYes, you should buy a kindle. Get the paperwhite with no ads. You're welcome.LONG REVIEWI love physical books too, I'm with you. But I know myself, and I know that once I forget to take the book I'm reading with me, that's it. I'll start another book and rarely finish the first. I also know if I try and read on my phone or iPad that I'll get distracted and start wondering about what's happening on the internet (Instagram's not gonna scroll ITSELF). Either way I'm not finishing the book.WHY KINDLEThe kindle takes the best of both worlds and mashes them together. The e ink display is honestly incredible. I wish iPhones had an e ink display. It really looks just like a printed page. So you get the experience of reading a physical paper book, but with the perks of being digital.Namely:- Share what book you're reading to Goodreads, Facebook, or twitter (so you can look SMORT)- Built in dictionary (so you can learn the proper spelling of the word SMORT)- Export your highlights as a PDFPlus, it'll also sync with the kindle app on your phone so you can squeeze in the final few pages of the chapter while you're in the bathroom (don't pretend you don't do that. You're either on your phone or you're reading the febreeze ingredients)READING IN BEDThe backlight looks great. It's a perfect size.Read more",Honest Kindle Review
AVpfODXeilAPnD_xXeUd,Amazon,,Replacement Remote for Amazon Fire TV Stick,0.0,"Remote didn't work, did all the troubleshooting to connect, sent me a replacement remote that didn't fix it, and then when I sent the replacement remote, they couldn't find it and charged me anyway. Very disappointed.",Very disappointed.
AVpfLiCSilAPnD_xWpk_,Amazon,Amazon,Amazon Fire TV,0.0,"I purchase almost everything with the exception of food from Amazon. I have been a prime member since the inception of the program. Without exception, I have always received EXCELLENT customer service. Until now. I'm having difficulty with my Fire TV connecting to my wifi. Last Saturday I spent approximately 1- hours (maybe 2) troubleshooting with two women techs on the phone. Mary (who I was passed to from the first tech because of her expertise) said she thought it wasn't just a problem unique to me and asked me if she could call me back on Sunday after researching the problem. I had no problem with that. No call on Sunday so I called on Monday. Much to my surprise, there was no record of my call attached to my file. The rep was confused as to whether I was talking about fire wire or Fire TV so I was first sent to a different department. Finally, I got through that fire wire was not the same as Fire TV and I was transferred back to digital. We went through the same troubleshooting taking up a lot of my time. I was willing to do it until we were going around in circles and my phone was running out of juice. The gentleman asked me if he could research and call me later in the day. NO CALL. It's Tuesday--still no call.It really pains me to have to say anything negative about Amazon's Customer Service as it has NEVER BEEN LESS THAN EXCELLENT IN THE PAST. I've noticed I haven't gotten a survey as I usually do after a customer service call. Whoever Amazon has farmed out their digital customer service to will ruin their excellent customer service reputation and they will lose sales because of it. I'm going to wager a bet that there is no record of the 3-4 hours of my time on the phone trying to solve a problem and no record of two promises to call me back. I would have had more respect for these reps if I had received a call saying they were sorry, but they weren't able to come up with a solution for me.I'm hoping Amazon has kept a record of my past reviews and will review my account and see just how much I've spent over the years as a loyal customer. I'm very disappointed that I had to write this review, and I'm hoping someone who can change things reads this and saves Amazon's reputation. I can't be the only one receiving this kind of treatment. It's obvious that the people who are techs for Fire TV are not the same techs that I've dealt with in the past. In fact, I don't think they are even in the same country. What a pity.",Customer Service--I'm Stunned at How Bad it Was
AVzRloqLGV-KLJ3aavBd,Amazon,,All-New Amazon Fire 7 Tablet Case (7th Generation,0.0,"Still not really in love with the new Kindle itself (on the fence about returning it), but this case is just horrid. It says it stands, it doesn't. It just collapses no matter position it's in. It's flimsy and scratchy and does just about nothing. Complete waste of money.",Huge step down from the older version
AVpfODXeilAPnD_xXeUd,Amazon,,Replacement Remote for Amazon Fire TV Stick,1.0,It's small and I don't miss voice interface. This is a 2nd one because my significant other and I like our own remotes.What I wasn't sure about was if the Amazon Fire TV would support more than one remote. But it does! You just have to register it with the Amazon Fire TV's device settings.,This is a great inexpensive way to add 2nd remote to Amazon Fire TV
AVph_N4z1cnluZ0-IkrF,Moshi,Amazon,Moshi Anti-Glare No Bubble Screen Protector for the Fire Phone,0.0,"This was a complete waste of 24. I read reviews and thought the product was better than a thin piece of sticky plastic. Lasted about one week. And my husband is not a frequent user of his cellphone, either. So for someone who carries cell with them and uses daily will probably last a day or so.",a piece of plastic!
AVpfpK8KLJeJML43BCuD,Amazon,Amazon,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,1.0,Love the fact that it has a rechargeable battery and can be moved with no issues for listening in other rooms. Has a decent amount of Bass for the size.,Great product with good bass for the price.
AVsRipBGv8e3D1O-lxRe,Amazon,,Echo Dot (2nd Generation) - Black,1.0,"Thanks for taking the time to read this review!This re-release of a critically acclaimed device is quite honestly a grand slam. Although slightly smaller then last years release, this device now picks up your voice even better! Im talking litterally talking leaps and bounds better. I can now say alexa and she hears me even when im downstairs or even when im blaring music thru my Harmon Kardon Onyx speaker. I found myself yelling at last years Echo dot and approaching the device wielding a kitchen knife attempting to get her to listen. We will be ordering a second device so we can try out its multi-room voice recognition technology. Amazon claims to have instilled a awesome feature where only one echo dot responds to your command if you have multiple devices. So bassically the dot closest to you awaits to the awake word alexa on a side note The basic Amazon Music Unlimited will only work on ONE of your devices. Not one at a time, but ONE. If you want to use it on more than one Dot or Echo, you have to purchase a multi-device plan: https://www.amazon.com/gp/dmusic/promotions/AmazonMusicUnlimited The main selling point of this device is you can use any of your exsisting bluetooth speakers to play your amazon playlist at a mild roar,or you can use the 3.5mm jack on the back to connect to your home theater and really give your ear drums a beating. (At your own risk of course). I have both the amazon tap and the echo. Unfortunately these devices have their flaws when it comes to audio reproduction.hence the bluetooth and the 3.5mm jack connectivity on this device will allow for the pickiest of listeners to appreciate their music thru exsisting devices.Read more","A huge improvement over last years release and for half the price 5,"
AVpfpK8KLJeJML43BCuD,Amazon,Amazon,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,1.0,"I couldn't decide on which one to buy. They all do the same things, but ended up buying the tap which is portable. I take it on my deck with a cup of coffee and listen to the music I put in through pandora and iheart radio. I absolutely love it, and so does my husband.",Love it!!!!
AVpfpK8KLJeJML43BCuD,Amazon,Amazon,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,1.0,Even as a speaker alone this item is worth the price!,Awesome Quality Speaker
AVpfODXeilAPnD_xXeUd,Amazon,,Replacement Remote for Amazon Fire TV Stick,1.0,"Works great! Originally it had a delivery date of June-July, but it was updated and delivered within a week. Don't let the usually ship within 1 to 4 months stop you from getting it! Definitely easier than connecting my phone each time!",Works great! Originally it had a delivery date of June-July
AVpfpK8KLJeJML43BCuD,Amazon,Amazon,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,1.0,"I HAVE BOTH THE ECHO AND THE TAP, THEY ARE SPECTACULAR",EXCELENT SOUND
AV3atCk2glJLPUi8SQna,Amazon,,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,1.0,Changes the whole look of the Echo ... after i purchased i think i should have gone with the tan leather. But blue is my favorite color and it adds a bit of a pop to a mundane looking black disk! The texture is also really nice feel and look to it!,Great pop of color for a bland looking product!
AVpfpK8KLJeJML43BCuD,Amazon,Amazon,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,0.0,It's very tin sounding no bass sounds terrible bought a bose sound link and a amazon dot to hook up to it,Sound quality horrible
AVpfpK8KLJeJML43BCuD,Amazon,Amazon,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,1.0,"I have owned three versions of the amazon echo: the original, the dot, and the tap. This is the most versatile of the three. The wireless recharging is great. The sound is not as good as the original, but the portability makes up for this. At $79 it was a fantastic buy.","great price, good product"
AV1T1nJ_GV-KLJ3adSMC,Amazon,,Certified Refurbished Echo Dot (2nd Generation) - Black,1.0,"I was very hesitant to purchase a refurbished unit, but the discount at the time of my purchase was too good to pass up. I was fully planning on returning it if there was the slightest sign of an issue. I have had this unit for about a month now, and it has worked perfectly since I received it. Like a brand new unit. If you can get this refurb for a substantial discount, I think it is totally worth the risk of not buying a new unit.Edit (07/08/2017): My original refurb'ed Echo Dot is still going strong, and I received my second refurb'ed Echo Dot yesterday. This second one is just as like new as my first one. The packaging is similarly like new. It has the same clear sticker covers surrounding it like a new unit, and I believe the power adapter, cable, and manuals are all actually brand new.",My refurb is like new. I love the Echo Dots!
AVpfpK8KLJeJML43BCuD,Amazon,Amazon,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,0.0,"hard to use, and does not support Guam. online instructions not clear",Not a good product
AVsRipBGv8e3D1O-lxRe,Amazon,,Echo Dot (2nd Generation) - Black,0.0,"My Amazon Echo Dot does not require the user to enter pairing mode to connect to the device via bluetooth. I live in an apartment complex - two of my neighbors have connected to my echo dot without any input on my part. The dot appears as a pairable bluetooth device at all times. This is a major security flaw, considering that this devices is connected to my network and my amazon account, and is listening at all times. I will be keeping this device unplugged until this flaw is fixed.",MAJOR SECURITY FLAW
AV1T0_tnvKc47QAVgf2V,Amazon,,Amazon Tap Sling Cover - Green,1.0,"Sling is simply awesome and so is the Amazon Tap!! My tap arrived this morning along with this sling and I am currently testing both products out as we speak!! This sling allowed me easy access to carry my tap to work today!!One nice thing I like about the tap is that this sling is not required but it is a very nice addition.. It provides great protection for the tap, which is what I needed it for.. My tap is going to be like a mini, portable Sonos for me.. It's going to be a speaker I take with me daily!! So I wanted this sling to protect my speaker and keep it from getting dinged up.. Even though it provides minimal coverage for the speaker, it still protects it from dings! The minimal coverage is needed not to hurt the sound quality coming from the speaker... Taking the speaker to the beach, camping, hiking, to parties, I wanted something to protect it while in use!! This sling is going to do just that!!Another thing it does is allows me to hang it from my bag!! At first, I was afraid the silicone wouldn't be strong enough for that and would stretch.. Well so far, no issues!! I use a carabiner and attach it to my bag!! No stretching and super easy to carry my tap with me!Pros1.) Can access all buttons in the sling2.) Can charge with the sling on (Via USB port not dock)3.) Allows personalization of your Tap4.) Protects your Tap from dings and since my tap isn't for home use, this is great5.) I love the bright and vibrant colors6.) Silicone is plenty strong enough for hanging7.) Doesn't adversely affect sound qualityOverall: I do feel 20 for the sling is a little high but for the protection it provides my brand new tap, I very happy with it.. I didn't buy my tap to sit still at home..Read more",Provides Excellent protection for my new tap that is out and about with me as we speak!!!
AVpfpK8KLJeJML43BCuD,Amazon,Amazon,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,0.0,This review can not be valid due to the device did not work for me. I would put it down. Just upgraded to the ECHO instead of the tap.,didn't work
AVpfpK8KLJeJML43BCuD,Amazon,Amazon,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,1.0,"If you want a certain level of privacy and at the same time a speech enabled assistant, then this is the product for you. The Tap only listens to your, when you push the ""button, otherwise it is deaf to its surroundings. You get the awesome power of Alexa, provided by Amazon, and no worries about anyone listening to you surreptitiously.",Privacy + Alexa = Awesome
AVpfpK8KLJeJML43BCuD,Amazon,Amazon,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,0.0,We are unable to connect WIFI on this product. We have tried to follow the instructions to no avail. It is a useless and expensive item sitting on our table.,Can't connect it
AVphEeRyilAPnD_x035P,Amazon,,Fire Kids Edition Tablet,0.0,"As the Kids Edition is nothing more than a basic 50 7 Kindle Fire with some extras, this review is primarily concerned with the 50-worth of extras bundled with the Kids Edition. Primarily, the year of included Freetime.As for the guts of the tablet itself, it's fine. Not great, but certainly fine. It's not the fastest tablet. It isn't the most feature-rich tablet. It doesn't have the sharpest display. But it's only 50, so it deserves to be graded on a curve. For a 50 tablet, it's great.Now, grab a coffee, get comfortable, because I have some thoughts on Amazon's Freetime service for kids/parents:Price plus the year of Freetime were the selling points for me (the case and added warranty were nice bonuses). The problem is, Freetime, though fantastic in theory, isn't even half-baked. It's a lump of dough left on the counter to rise. And then whoever was supposed to put it in the oven got distracted and forgot about it. It's getting moldy, and it smells kind of funny.Freetime: great in theory, terrible in practice.Normally, when you buy a new tablet, it might have a little bloatware pre-installed, but you generally don't start with the offerings of the entire app store on your homescreen. You find and add the apps you want.The way you install/remove apps in Freetime is sort of backwards. It's subtractive. Every single title is served up on the home screen (and in the apps, books, videos screens). These aren't technically pre-installed, but to a young kid looking at a sea of icons, it looks like he has all of these wonderful titles at his disposal. Well, he does. But only sort of. He clicks Elmo's face, and the wheel starts spinning over the icon while it downloads.Read more","Freetime makes me angry. So, so angry. 3,"
AVpfpK8KLJeJML43BCuD,Amazon,Amazon,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,1.0,Makes for a great alarm and reminder device. I own 2 dots and the tap. Use them all.,Great product
AVpfpK8KLJeJML43BCuD,Amazon,Amazon,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,1.0,Reasonably priced and worth every penny! I love it.,I love my Alexa!
AVpfODXeilAPnD_xXeUd,Amazon,,Replacement Remote for Amazon Fire TV Stick,0.0,"These remotes are terrible and basically disposable. I'm now on my third remote and have yet to own one that has lasted longer than five months. My family is not rough on them, either. But as the touch pad gets the slightest bit dirty from daily handling, the remote starts getting glitchy and then stops working. And gently cleaning them doesn't seem to help. Terrible design from Amazon.",Disposable.
AVpjWh8e1cnluZ0-Vy0O,Amazon,,Fire HD 6 Tablet,1.0,"I'll preface this by saying that I own an iPad, and was not expecting a 99 tablet to perform at anywhere near that level. I have followed the early reviews closely, and after seeing enough satisfied customers, I figured I'd give the Kindle Fire HD 6 a try. I chose the base 8 GB with special offers and my plan was to use it as a secondary e-reader and a secondary or even tertiary vehicle for internet access. What I've found is a powerful little tablet, so far completely free of the bugs and laggy speeds mentioned in the early reviews. In fact, performance has so exceeded expectations that I consider this perhaps the year's best purchase.First off the look is nice. It's sleek, (I ordered the black model) and though actually quite a bit heavier than I'd imagined, it's not heavy enough to be considered a negative. The display is fantastic, and its quality was the first big surprise. The touch screen performs incredibly well, and to this point, I have experienced immediate response. To the point where I have to say touch response so far is indistinguishable from my iPad. Based on early reviews, this was not the case, so I have been quite pleasantly surprised. The Fire is very user friendly and easy to intuit. For those who do not feel confident with navigation of a new device, there is an immediate onscreen tutorial (with an option to skip) to guide you.I first checked out the e-reader function. My books loaded immediately and easily from the cloud and I really like the functionality of the reader.Read more","Unreal performance for 99! I couldn't be happier. 5,856 people found this helpful. Was this review helpful to you Yes No"
