case_id,case_outcome,case_title,case_text
Case15689,cited,Knight v Beyond Properties Pty Ltd [2007] FCAFC 170,"Relevant principles in the context of claimed breach of s 52 , as explained by the Full Court in SAP Australia [1999] FCA 1821 ; 169 ALR 1 at 14, include the following: &#8226; Initial confusion is sufficient and it is not necessary for confusion to induce or be likely to induce a transaction. Conduct which misleads a customer so that, under some mistaken impression of a trader's connection or affiliation, he or she opens negotiations or invites approaches may be misleading or deceptive even if the true position emerges before the transaction is concluded. &#8226; However, each case depends on its own facts and conduct may not be misleading or deceptive or likely to mislead or deceive, notwithstanding that it may engender temporary and commercially irrelevant error (cf Knight v Beyond Properties Pty Ltd [2007] FCAFC 170 at [56] ; Hansen Beverage Company v Bickfords (Australia) Pty Ltd [2008] FCAFC 181 at [41] ). &#8226; Characterisation of conduct as ""misleading or deceptive or likely to mislead or deceive"" involves a judgment of a notional cause and effect relationship between the conduct and putative consumer's state of mind. 71 In addition to these principles, it is also clear that: &#8226; In order to determine whether there has been any contravention of s 52 it is necessary to determine whether or not the conduct complained of amounted to a representation which has or would be likely to lead to a misconception arising in the minds of that section of the public to whom the conduct has been directed: Astrazeneca Pty Ltd v GlaxoSmithKline Australia Pty Ltd [2006] FCAFC 22 at [34] . &#8226; Whether or not there is the requirement of some exclusive reputation as an element in the common law tort of passing off, there is no such requirement in relation to Pt V of the TPA. The question is not whether an applicant has shown a sufficient reputation in a particular get-up or name. The question is whether the use of the particular get-up or name by an alleged wrongdoer in relation to his product is likely to mislead or deceive persons familiar with the claimant's product to believe that the two products are associated, having regard to the state of knowledge of consumers in Australia of the claimant's product: Cadbury Schweppes Pty Ltd v Darrell Lea Chocolate Shops Pty Limited (2007) 159 FCR 359 at 419; Hansen Beverage Company v Bickfords (Australia) Pty Ltd [2008] FCAFC 181 at [39] . &#8226; Where the relevant conduct involves representations to the public at large or to a section thereof, such as prospective purchasers of a product the respondent markets or proposes to market, the issue is one of identifying the ""ordinary"" or ""reasonable"" members of that class of prospective purchasers: Campomar Sociedad, Limitada v Nike International Ltd [2000] HCA 12 ; [2000] 202 CLR 45 at 84-85. &#8226; It is necessary to isolate by some criterion a representative member of the class of prospective purchasers: Campomar [2000] HCA 12 ; 202 CLR 45 at 85. This excludes erroneous or fanciful assumptions: Campomar [2000] HCA 12 ; 202 CLR 45 at 86. &#8226; Where a transitory association between the names of two products in the mind of a member of the public is immediately dispelled upon a comparison of those products, this brief association will generally be of no significance and therefore will not give rise to misleading conduct or deception: Knight v Beyond Properties Pty Ltd [2007] FCAFC 170 at [53] ."
Case9347,applied,Powell v Evreniades (1989) 21 FCR 252,"The term 'serious hardship' is not defined in the Act. In Powell v Evreniades (1989) 21 FCR 252 (' Evreniades ') Hill J considered the term as used in s 265 of the Income Tax Assessment Act 1936 (Cth). His Honour, who was concerned with serious hardship to a taxpayer's dependants upon the death of the taxpayer, observed, at 258: 'There is no definition in s 265 of what is meant by 'serious hardship' nor would one expect there to be. Each of the words in the phrase is an ordinary English word having a well understood meaning. The context in which the words appear makes it clear that the Relief Board is to consider whether the exaction of the full amount of tax would involve the dependants of a deceased taxpayer in financial difficulty which in all the circumstances can be said to be serious. The financial difficulty will be such that the dependants will be in significant need warranting action by the Relief Board to relieve their condition.' 14 Hill J accepted that there was a distinction between extreme and serious hardship noting that what will constitute either will depend on the circumstances. His Honour also said it was inappropriate to attempt to state tests of what would constitute 'serious hardship' in the abstract and commented, at 259: 'Clearly there would be severe financial hardship if the dependants of a deceased person were left destitute without any means of support. That is not to say that in any particular case something less than that will not constitute serious hardship.' These observations were referred to with apparent approval by Gummow J in Van Grieken v Veilands (1991) 21 ATR 1639 at 1644. 16 In the Amended Notice of Appeal the applicant complains that the Tribunal used the 'wrong test' in determining the prospect of 'serious hardship' for the respondent. In its written submissions it expressed its complaint somewhat differently saying that the Tribunal 'misunderstood the meaning' of the term. It seems to me that the latter expression is less likely to lead to confusion as it recognises, at least implicitly, that ""serious hardship"" is itself the test that has to be applied to an applicant's circumstances to decide if that applicant is eligible for relief from a tax debt. There is no other test, although there may be issues about which factors, in the particular circumstances, are or are not relevant to this determination. It is because the assessment is based so squarely on the individual circumstances that Hill J in Evreniades thought it was inappropriate to try and identify, in the abstract, the circumstances that would give rise to serious hardship. 17 This is not to say that guidance cannot be given by examples in which the test of serious hardship would clearly be met. In Evreniades, Hill J gave such an example when he recognised that there would be 'severe financial hardship' if persons were left 'destitute without any means of support'. The Taxation Ruling gives a similar example when it says that there would be serious hardship if a taxpayer were left 'without the means to achieve reasonable acquisitions of food, clothing, medical supplies, accommodation, education for children and other basic requirements'. I do not see any inconsistency in these examples. Effect must be given to the qualification of 'reasonable' in the Taxation Ruling and, consistently with the reasoning of Hill J, these examples do not exclude the possibility that something less than destitution will constitute serious hardship. Whether this is so depends on the particular circumstances of each case. 18 It is not entirely clear that the Tribunal appreciated that the Taxation Ruling allowed for consideration of individual circumstances. In commenting on the Ruling the Tribunal said that 'it is no more than policy and cannot bind this Tribunal'. This comment seems to suggest that the Tribunal misunderstood the Ruling as providing a rigid rule. As I have already explained, I do not think that this is the correct interpretation of the Ruling but, as the Tribunal did not apply any such rigid rule, the misunderstanding is not of present concern. 19 The applicant submitted that the Tribunal's rejection of the Taxation Ruling indicates that it used some other unidentified test of serious hardship to make its decision. I do not accept this submission. The Tribunal noted that what is needed for proper maintenance and support is a relative question that can only be answered with regard to the whole of the taxpayer's circumstances. The Tribunal considered all the relevant aspects of the respondent's circumstances including whether he could achieve 'acquisitions of food, clothing, medical supplies, accommodation, education for children and other basic requirements' that were not excessive or unreasonable in all the circumstances. I do not accept that the Tribunal used the wrong test. 59 The Tribunal was aware that it had discretion to grant or withhold relief even it was satisfied on the serious hardship point. This is made clear by the Tribunal's quoting from the decision of Hill J in Evreniades, where his Honour said at 262-263: 'It follows from Trebilco that in the course of consideration of the release of tax under s 265 the Board may consider not only such matters as go to the issue of serious hardship but also other matters which in the discretion of the Board may be relevant, those other matters being merely proscribed by the general principle that the discretion must be exercised bona fide and for the purposes for which it was conferred, there being jurisdiction in this Court to intervene if in the overall exercise of the discretion the Board does take into account considerations which having regard to the purposes served by s 265 , can be seen to be irrelevant,' 60 I am satisfied that the Tribunal did exercise its discretion. Although the issue of discretion is not addressed under a separate heading there is sufficient indication of this throughout the Tribunal's reasons for me to be satisfied that this is so. 61 It was accepted on all sides that the respondent's debt had not arisen because of avoidance or participation in any scheme. The applicant submitted, however, that the Tribunal failed to take into account that the respondent had earned substantial amounts of money in the relevant period without making adequate provision for his tax liability. The transcript of the hearing before the Tribunal shows that the Tribunal questioned the respondent about the issue. The respondent talked at length about the difficulties he had in the law firm where the income that gave rise to the tax debt was generated. He said that the firm had the capacity to reduce his income retrospectively so that amounts that he was anticipating he would receive did not materialise. He also referred to difficulties he had experienced on a family level in moving from interstate at a time when his wife's illness, with consequent medical expenses, first manifested itself. At the same time one child's learning difficulty and another's serious heart condition (now resolved) were diagnosed. The combination of these factors led to his neglecting his financial affairs and not realising that a debt was accumulated. His subsequent drop in income made it impossible to meet the debt."
Case8483,cited,Wigan v English and Scottish Law Life Assurance Association (1909) 1 Ch 291,"to sue for an antecedent debt pursuant to an agreement, either express or implied, may constitute valuable consideration, including in a bankruptcy context: Wigan v English and Scottish Law Life Assurance Association (1909) 1 Ch 291 at 303, re Zampatti ex parte RJ Levack Ltd [1993] FCA 170 , Cannane &amp; Anor v Official Trustee in Bankruptcy (1996) 65 FCR 453 at 466, Official Trustee in Bankruptcy v Racovitis [1995] FCA 959 , Victorian Producers Co-Operative Co Ltd v Kenneth [1999] FCA 1488 , Phillips Fox (A Firm) v Westgold Resources NL [2000] WASCA 85 at [22] . However in bankruptcy-related proceedings the forbearance must be for value. This point was emphasised in para 84.14 of the Explanatory Memorandum to the Bankruptcy Legislation Amendment Bill 1996 (Cth), which enacted s 120 in its current form, states: Forbearance to sue has always been regarded at law as good consideration. Such forbearance will, under the Act as proposed to be amended by the Bill, have to be looked at in the light of the likely value of the chose in action. (emphasis added)"
Case11187,cited,Roufos v Andrea (1981) 57 FLR 10,"In determining whether a bankruptcy notice could reasonably mislead a debtor the court is not confined to an examination of the notice; it may look at facts extraneous to the notice, including the terms of an earlier bankruptcy notice served on the debtor; see Re Wimborne; Ex parte the Debtor (1979) 24 ALR 494 (Lockhart J); Clyne v Deputy Commissioner of Taxation (1982) 42 ALR 703 (Lockhart J); Roufos v Andrea (1981) 57 FLR 10 at 15-16 (Deane, Fisher &amp; Fitzgerald JJ)."
Case1695,applied,Alister v The Queen (1984) 154 CLR 404,"Commonwealth v Northern Land Council [1993] HCA 24 ; (1993) 176 CLR 604 , a public interest immunity case about documents recording cabinet deliberations, the Court said at 620: There was, therefore, no call for Jenkinson J to order that the documents be produced for inspection. But we would add that, even if there had been, the procedure of ordering production of documents for inspection by the legal representatives of one of the parties, even upon a restricted basis, before the claim for immunity had been decided by the court, was open to serious question. Whatever the safeguards, it represents an encroachment upon the confidentiality claimed for the documents. And in this case, public interest in their immunity from disclosure was of the highest order. If inspection of documents is necessary to determine the question of immunity (and in this case it was not) then it ought to be carried out by the court before ordering production for inspection by a party. No doubt this may in some cases cast a heavy burden on the court, but it is unavoidable if confidentiality is to be maintained until a claim for immunity is determined. See also Alister v The Queen (1984) 154 CLR 404 at 469 and Gypsy Jokers Inc v Commissioner of Police (WA) [2008] HCA 4 ; (2008) 234 CLR 532 at [180] and [185] per Crennan J. Northern Land Council and Alister concerned inspection by the court of the documents over which privilege was claimed. In Gypsy Jokers Crennan J spoke more broadly of ""information in documents"", ""certain material relied on for determination of a proceeding"" and ""confidential material before a court"", which was not revealed to a party seeking it. In The Queen v Bebic (unreported, 27 May 1982) the Court of Criminal Appeal of New South Wales dealt specifically with the disclosure of the contents of an affidavit tendered in support of a public interest immunity claim. There Samuels JA, Nagle CJ at CL and Cantor J said at 4: Mr Mason tendered an affidavit in support of his claim for privilege. He submitted, however, that the affidavit should not be placed on the file, that is to say that it should be read only by the Court and not disclosed to the party calling, on the footing that the contents of the affidavit would or might themselves compromise the claims for privilege. We had and still have some doubts about the propriety of restricting the affidavit in the way proposed. However, it may well be that that course is, in certain cases, of which this is one, no more than a logical extension of the established practice of the Courts inspecting the allegedly privileged documents itself. Later at 5, after saying that the Court had read both documents in question and the affidavit in support of the claim for privilege, their Honours said: It seems to us that granted that it is now commonplace for judges to make a private inspection of documents in order to resolve a claim for privilege ..., it follows that in a proper case the judge may similarly keep to himself the affidavit by which the claim is supported. The Court then ordered that the affidavit remain sealed up with the papers on the ground that to disclose its contents might prejudice the claim for privilege. I have referred in connection with the respondent's affidavit to the great importance that is attached to the respondent's opinion as to the damage to national security incident upon disclosure. Obviously that is also the case in relation to the disclosure of the documents over which privilege is claimed. I have summarised the respondent's reasons for his opinion about the possible effects of disclosure of the documents in question. This is all derived from the open parts of his affidavit. The Final Appreciations and related briefing notes set out the reasoning process that underlies the making of security assessments, which are the key mechanism by which ASIO advises government that particular individuals pose a threat to national security. If documents falling within this class were required to be produced, ASIO would be giving information about its knowledge, assessments and methodology to the very people to whom it is most important that national security information is not disclosed: cf Alister 154 CLR at 454-455 per Brennan J. As the respondent has deposed, the relevant class is ""one of the classes of documents held by ASIO that require the greatest level of protection"" first, because of the inherent sensitivity of the information that is routinely contained in such documents, and second, because of the detrimental consequences in terms of the quality of decision-making that would be likely to follow if ASIO officers were forced to omit particular kinds of information from Final Appreciations and related briefing notes due to the risk that those documents will become available to persons the subject of security assessments. The applicants contended that the respondent was not able to make a class claim. It was said that he seeks to describe as a class claim documents which he considers constitutes a Final Appreciation and documents related thereto. That description, they say, does not constitute an identifiable class. The table in the affidavit (set out at [9]) refers to an internal email, an internal minute and a briefing note. It does not refer to any Final Appreciation. By way of contrast, the applicants assert that Cabinet documents constitute a clear class claim. Here they say the so-called class claim involves the respondent asserting for himself that particular documents constitute Final Appreciations. I do not think that is a fair description of the respondent's claim. The presently relevant parts of his affidavit are as follows: (a) shortly after identifying the documents in the table at [9] he describes them on a class basis as ""paradigm examples of documents that ASIO should not be required to disclose save in exceptional circumstances""; (b) the results of complex security assessments are usually contained in a Final Appreciation document, though it may not be headed in that way; (c) the Final Appreciation ordinarily takes the form of an ASIO minute; (d) when the investigative branch assesses an individual to be a threat to Australia's national security, the respondent is advised, usually by a DGBN; (e) often both a DGBN and a Final Appreciation are provided to the respondent for decision; (f) it is the document on which a security assessment is based, being the Final Appreciation (however that document is headed) and any associated DGBN that cannot be disclosed; (g) the class claim advanced concerns the class of documents shortly described as ""Final Appreciation documents and related briefing notes""; (h) documents in this class invariably contain specific detail as to why persons are assessed as a risk to national security, and specific details of intelligence sources and methods; (i) the respondent has examined the ASIO documents, namely those in the table (the class claim) and the contents claim documents; and (j) the disclosure of the documents in (i) would prejudice Australia's national security for the reasons stated in the affidavit."
Case8744,followed,Weerasinghe v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2004] FCA 261,"Fundamental to the Tribunal's decision was its understanding that the relevant test of ""substantial compliance"" was as discussed in Baidakova v Minister for Immigration &amp; Multicultural Affairs [1998] FCA 1436 at 6. The Tribunal applied the ""substantial compliance"" test to Condition 8202(3)(b). However, the requirement in Condition 8202(3)(b) to provide a certificate cannot, logically, be satisfied by substantial compliance. Either Condition 8202(3)(b) is satisfied or it is not; either there is a certificate of an ""at least satisfactory"" academic result or there is not ( Jayasekara v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2006] FCAFC 167 ; (2006) 156 FCR 199 per Heerey and Sundberg JJ). It is not in dispute that the education provider, the University of Sydney ('the University') had not provided the necessary certificate. There was no compliance with Condition 8202(3)(b). There is ' no scope for operation of the distinction between strict compliance and substantial compliance ' in determining whether Item 8202(3)(b) of Sch 8 of the Regulations is satisfied ( Weerasinghe v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2004] FCA 261 at [10] , cited in Jayasekara at [5])."
Case17126,cited,Tervonen v Minister for Justice and Customs (No 2) [2007] FCA 1684,"The Applicant contends that there is no power to revoke the s 16 notice: Dutton v Republic of South Africa [1999] FCA 498 , 162 ALR 625 ; Tervonen v Minister for Justice and Customs (No 2) [2007] FCA 1684 at [108] , [2007] FCA 1684 ; 98 ALD 589 (Varied: Minister for Home Affairs v Tervonen [2008] FCAFC 24)."
Case15828,cited,NAHI v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2004] FCAFC 10,"The appellant says a proper inference can not be drawn from the country information relied upon by the Tribunal that an applicant for a passport is of no interest to PRC authorities on grounds of prior protest conduct for reasons of political opinion, simply because the applicant obtains a passport and achieves an objective of lawfully leaving China. However, five things should be noted. First, the Tribunal was entitled to prefer the country information it obtained and rely upon it in discharging its fact-finding role ( NAHI v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2004] FCAFC 10 [11] and [41], relying upon VTAG v Minister for Immigration and Multicultural and Indigenous Affairs [2005] FCAFC 91 ; (2005) 141 FCR 291 and VAO v Minister for Immigration and Multicultural Affairs [2002] FCA 161 at [25] ). Secondly, the finding is primarily supported by the Tribunal's assessment of the appellant's evidence. Thirdly, the appellant accepted that he had not engaged in protest activity and explained the conjunction of circumstances causing that to be so. Fourthly, even if no proper inference arises out of the older country information, the Tribunal did not act on 'no evidence' in reaching its finding as evidence (that is, the appellant's own evidence) supported the finding. Fifthly, the question of whether there is any evidence of a particular fact is a question of law just as whether a particular inference can be drawn from facts found or agreed is a question of law. Accordingly, in the context of judicial review, the making of findings and the drawing of inferences in the absence of evidence is an error of law. On the other hand, clearly enough, there is no error of law in simply making a wrong finding of fact. In addition, even if the reasoning upon which the decision-maker reached its conclusion of fact is demonstrated to be unsound, that would not amount to error of law ( Minister for Immigration and Multicultural Affairs v Al-Miahi [2001] FCA 744 ; (2002) 65 ALD 141 per Sundberg, Emmett and Finkelstein JJ at [34]). Even if it is accepted that the earlier country information did not support an inference drawn by the Tribunal, there was nevertheless evidence before the Tribunal supporting the findings of fact."
Case982,cited,Ruddock v Vadarlis (No 2) [2001] FCA 1865 ; (2001) 115 FCR 229,"Court's discretion to order costs under s 43 of the Federal Court of Australia Act 1976 (Cth) is unfettered, except that it must be exercised judicially. The usual order as to costs is that a successful party will have its costs paid on a party and party basis by the unsuccessful party: Colgate-Palmolive Company v Cussons Pty Ltd (1993) 46 FCR 225 at 232-234. As the passage from Cretazzo indicates, the mere fact that a substantially successful applicant fails on particular issues of fact or law along the way may not afford an adequate ground for depriving that applicant of some or all of its costs. On the other hand, it lies within the Court's discretion to make a costs order that reflects the degree of success attained: Ruddock v Vadarlis (No 2) [2001] FCA 1865 ; (2001) 115 FCR 229 at 234-235 [11] and 236 [15]. Depending on the circumstances, it may be an appropriate exercise of the Court's discretion to deprive a party of its costs in respect of an issue which it lost at trial: Cummings v Lewis (1993) 41 FCR 559 at 599-604; and Dias Aluminium Products Pty Ltd v Ullrich Aluminium Pty Ltd (No 2) [2005] FCA 1400 at [3] . Alternatively, the Court can order a successful party to pay some costs in respect of unsuccessful aspects of the case: Hughes v Western Australian Cricket Association (Inc) (1986) ATPR 40-748 at 48,136; Forster v Farquhar (1893) 1 QB 564; and Inn Leisure Industries Pty Ltd v DF McCloy Pty Ltd (No 2) (1991) 28 FCR 172."
Case2768,cited,Re Application by PPI Industries Pty Ltd (1989) 17 IPR 667,
