Title,Review Text,Division Name,Department Name,Class Name
Waist gets baggy with wear,"I really liked these jeans initially, but by the end of the day the waist is really baggy. the fabric stretches with wear and takes a wash to get back to its original shape.",General,Bottoms,Jeans
So long!!,"I am of average height, but these pants are so long!! i considered altering them because i like the print, but i don't think it's worth the effort for workout attire so they're going back. shame!!",Initmates,Intimate,Lounge
Slip is too small...,"Dress is pretty, i was disappointed by the slip which is too small like previous customer. i am an inch taller than the model and i feel more comfortable it being a tunic with leggings. nice but not nice enough to keep, i am returning. :(",General,Dresses,Dresses
Didn't look good on me,Thought i would try this as other reviewers loved it and it's out of my comfort zone. it looked like a poncho with a baggy tank underneath. not worth the price. the tassels looked a bit worn as well.,General,Tops,Knits
Dress,"I love the look of this dress but the length feels a little awkward which might be my height (5'4""). i'm thinking about having it altered, not sure if i will do that or return it. i love the colors and the back cut out, it may be a better length for taller individuals.",General Petite,Dresses,Dresses
"Cute, but didnt love",It was cute. i didn't keep it because it wasn't soft and hung a bit different than pictured. i thought it would be softer material. it was itchy,General,Tops,Sweaters
See through,I would really like this dress if the material were a little thicker. it's really thin so you can see my nipples straight through the dress. you can't wear a bra with it because it is backless so i don't understand how you are supposed to wear this outside of the house.,General Petite,Intimate,Lounge
Disappointed,"Sleeves were tight, was difficult to put on ?. for the price, you want to love the shirt. sending it back.",General,Tops,Blouses
Renaissance fair vibe,"I was disappointed by this dress. i listened to the reviews and ordered one size up, a size 6 instead of my usual 4, and that was the correct size. fit like a glove. unfortunately, the style left much to be desired. this dress is very costume-y. i felt like a wench from the renaissance fair. not a good vibe. it is a beautiful dress, i'm not denying that, but not as a dress you would actually wear to an event. there's just too much going on with the tapestry look and the many types of fabric. i a",General,Dresses,Dresses
Had high hopes!,"I had sized down because i'm usually a petite, but didn't have the option for petite here, and it was still too big. a petite or an additional size down could have helped the fit, but in the end the style wasn't what i was going for. the dress has a little more texture going on than what is revealed in the photo here on the site -- i thought it was a luxurious brocade fabric, but the shininess actually comes from silky threads on a mesh-ish overlay. it's a lovely, quality dress, and the color is",General,Dresses,Dresses
Too big,"I love the teal color of this t-shirt and the macrame design at the top is beautiful, however, the top is way too large.  i usually wear a size xs or s in retailer tops, so i ordered the size s, there is so much fabric below the chest it fits like a maternity top.  i know if i order an xs, i will have the same problem.  below the bust, the top is not flattering and it&amp;#39;s a shame.",General,Tops,Knits
